year,trades,total_r,average_r
2023,39,-0.9341425975751614,-0.02395237429679901
2024,32,-8.240526236092805,-0.25751644487790015
2025,23,-5.120965778236929,-0.22265068601030127
2026,18,1.28,0.07111111111111111
