starting_balance,ending_balance,net_result,return_percent,signals_traded,wins,losses,win_rate,profit_factor,max_drawdown_percent,active_risk_percent,micro_risk_percent,rolling_window_trades,rolling_threshold_r,cooldown_days,daily_soft_brake_r,dd_micro_threshold_percent,active_trades,micro_risk_trades,avg_risk_percent,profile
5000.0,9432.930446908395,4432.9304469083945,88.65860893816789,11649,5562,6087,0.47746587689930464,1.0811928974607798,13.698692832537837,0.35,0.05,50,-8,14,-6,9,3413,8236,0.13789595673448363,previous_balanced_gap60
5000.0,10819.143091286767,5819.143091286767,116.38286182573535,11649,5562,6087,0.47746587689930464,1.1136316739026473,7.939712903320408,0.3,0.03,50,-12,21,-10,5,3743,7906,0.11675508627349987,low_dd_active_gap60
5000.0,5744.272936289863,744.2729362898626,14.885458725797251,11649,5562,6087,0.47746587689930464,1.0716073957558765,3.893340254339814,0.25,0.03,40,-5,30,-4,5,341,11308,0.03644003777148253,extra_safe_gap60
