symbol,trades,wins,win_rate,net_profit,return_percent_on_5000,profit_factor,avg_trade,avg_r
EURUSD,955,341,0.35706806282722513,-151.630960604088,-3.03261921208176,0.9680445818722472,-0.15877587550271097,-0.004137
GBPJPY,1255,418,0.33306772908366536,-1420.5249924358204,-28.410499848716407,0.7456560772810979,-1.13189242425165,-0.176497
GBPUSD,1797,565,0.3144129104062326,-2256.077379660606,-45.12154759321212,0.7649936631514952,-1.2554687699836427,-0.157777
