scenario,starting_balance,ending_balance,net_result,return_percent,trades,profit_factor,max_dd_percent,conservative_stacked_dd_percent
V12 Final aggregate only,5000.0,8201.58,3201.58,64.0316,918,1.606,4.93,5.25
V14.1 dynamic ICT satellite,5000.0,7695.19,2695.19,53.9,11649,1.125,4.21,9.46
V14.2 ICT profit-cushion satellite,5000.0,7075.743404845943,2075.7434048459427,41.514868096918846,8471,1.1297123009223213,4.001163954794827,9.251163954794826
V14.2 combined estimate,5000.0,10277.323404845942,5277.323404845943,105.54646809691886,9389,,4.93,9.251163954794826
V14.2 reference satellite-only DD triggers,5000.0,8278.14970467052,3278.149704670521,65.56299409341042,11649,1.107636255719944,6.190292564366528,11.440292564366528
