label,source_signals,accepted_trades,skipped_trades,start,ending,net,return_pct,wins,losses,win_rate_pct,profit_factor,gross_win,gross_loss,max_ict_realized_dd_pct,max_combined_proxy_dd_pct,max_ict_open_risk_pct,v12_stress_dd_reserve_pct,v12_aggregate_net,combined_ending_reference,combined_net_reference,combined_return_reference_pct,profile_json,reason_active,reason_dd_throttle,reason_hard_dd,reason_active_open_cap_reduced
dd_reduced_previous_11dd_r0.45_t9.5_tr0.25_hard11.0,4303,2143,2160,5000.0,10087.280786764552,5087.2807867645515,101.74561573529104,1079,1064,50.34997666822212,1.164041640293581,36099.41147297386,31012.130686209206,5.823160555749201,11.073160555749201,0.9,5.25,3201.58,13288.860786764551,8288.860786764551,165.77721573529104,"{""active_risk"": 0.45, ""dd_tiers"": [[9.5, 0.25, ""dd_throttle""]], ""hard_dd"": 11.0, ""label"": ""dd_reduced_previous_11dd_r0.45_t9.5_tr0.25_hard11.0"", ""max_open_cap"": 1.25}",1699,444,2160.0,
under10_target_r0.45_t8.0_tr0.05_hard9.7_cap1.25,4303,4303,0,5000.0,10208.812171316025,5208.812171316025,104.17624342632053,2156,2147,50.10457820125494,1.2373210027324588,27157.194789554196,21948.38261823823,4.3209882989803035,9.570988298980303,0.9,5.25,3201.58,13410.392171316025,8410.392171316025,168.20784342632052,"{""active_risk"": 0.45, ""dd_tiers"": [[8.0, 0.05, ""dd_throttle""]], ""hard_dd"": 9.7, ""label"": ""under10_target_r0.45_t8.0_tr0.05_hard9.7_cap1.25"", ""max_open_cap"": 1.25}",1278,3025,,
max_profit_under10_reference_r1.2_t8.0_tr0.05_hard10_cap1.5,4303,4303,0,5000.0,11275.555117328302,6275.555117328302,125.51110234656603,2156,2147,50.10457820125494,1.394922042721662,22166.17260243855,15890.61748511025,4.725092002289429,9.97509200228943,1.5,5.25,3201.58,14477.135117328302,9477.135117328302,189.54270234656602,"{""active_risk"": 1.2, ""dd_tiers"": [[8.0, 0.05, ""dd_throttle""]], ""hard_dd"": 10.0, ""label"": ""max_profit_under10_reference_r1.2_t8.0_tr0.05_hard10_cap1.5"", ""max_open_cap"": 1.5}",280,3981,,42.0
