starting_balance,ending_balance,net_profit,return_percent,signals_traded,wins,losses,win_rate,profit_factor,max_drawdown_percent,total_r,active_risk_percent,probation_risk_percent,rolling_window_trades,rolling_threshold_r,cooldown_days,daily_soft_brake_r,dd_micro_threshold_percent,active_trades,micro_risk_trades,avg_risk_percent,profile
5000.0,5170.66743359048,170.66743359047996,3.413348671809599,112,42,70,0.375,1.1804984990418919,3.8215621519370107,-13.015634611904895,0.5,0.05,20,-3.0,120,-2.0,8.8,66,46,0.3151785714285714,balanced_consistent
5000.0,5282.835703228988,282.83570322898777,5.656714064579756,112,42,70,0.375,1.20510145895935,5.700459467178026,-13.015634611904895,0.75,0.05,20,-3.0,120,-2.0,8.8,66,46,0.46249999999999997,aggressive_consistent
5000.0,5037.504755805661,37.50475580566126,0.7500951161132252,112,20,25,0.17857142857142858,1.0846281061884702,2.0817105252211827,-13.015634611904895,0.35000000000000003,0.0,8,-0.5,90,-1.5,8.8,45,67,0.14062500000000003,previous_strict_guard
