method,train_period,confirmation_period,test_period,trades,net_profit,ending_balance,return_percent,profit_factor,max_drawdown_percent,decision
strict_researched_strategy_gate,2016-07-03_to_2021-12-31,2022-01-01_to_2022-12-31,2023-01-01_to_2026-07-03,0,0.00,5000.00,0.00,0.000,0.00,keep_intraday_disabled
adaptive_shadow_incubator,2016-07-03_to_2021-12-31,live_shadow_activation,2023-01-01_to_2026-07-03,52,-103.10,4896.90,-2.06,0.470,2.52,keep_intraday_disabled
