year,accepted_trades,avg_r,total_r,pnl,avg_risk_pct
2023,1262,0.10682044929824062,134.80740701437966,2948.771254447979,0.35
2024,1231,0.05159711977409656,63.51605444191287,1905.2452851076812,0.35
2025,523,0.02579734304347679,13.492010411738361,444.49115551405316,0.35
