step,added,selected_filters,train_signals,train_pf,train_total_r,train_avg_r,confirm_signals,confirm_pf,confirm_total_r,confirm_avg_r
1,exclude symbol GBPJPY,exclude symbol GBPJPY,1756,1.1445963880011247,113.0576342237742,0.06438361857845912,1799,1.0767292807879725,59.64913366314758,0.03315682805066569
2,exclude hour 12:00,exclude symbol GBPJPY; exclude hour 12:00,1618,1.1629153609137926,116.13600077469894,0.07177750356903519,1646,1.0884638044741275,62.196890431156675,0.03778668920483395
3,exclude hour 08:00,exclude symbol GBPJPY; exclude hour 12:00; exclude hour 08:00,1441,1.183981049692716,116.25780214278907,0.08067855804496118,1455,1.0953227490909017,59.52689043115916,0.04091195218636368
4,exclude setup sweep_reclaim_15,exclude symbol GBPJPY; exclude hour 12:00; exclude hour 08:00; exclude setup sweep_reclaim_15,1190,1.2722755928069056,136.04881725055884,0.11432673718534356,1198,1.1026285371321758,52.3014674868181,0.0436573184364091
