symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-02 04:00:00+00:00,2019-08-02 20:00:00+00:00,0.05,-0.0,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-05 04:00:00+00:00,2019-08-05 16:00:00+00:00,0.05,-0.0,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-05 08:00:00+00:00,2019-08-06 08:00:00+00:00,0.05,-1.000000000000009,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2019-08-07 08:00:00+00:00,2019-08-07 16:00:00+00:00,0.55,-1.0000000000000082,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2019-08-12 04:00:00+00:00,2019-08-12 16:00:00+00:00,0.15,-1.0000000000000082,0.15,UNCHANGED,0.15,UNCHANGED
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-12 16:00:00+00:00,2019-08-13 20:00:00+00:00,0.15,-1.0000000000000047,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-16 12:00:00+00:00,2019-08-19 16:00:00+00:00,0.55,-1.0000000000000315,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-16 16:00:00+00:00,2019-08-16 20:00:00+00:00,0.55,-1.000000000000018,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-23 20:00:00+00:00,2019-08-26 08:00:00+00:00,0.15,-0.0,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-08-26 04:00:00+00:00,2019-08-26 08:00:00+00:00,0.05,-0.9999999999999897,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2019-08-28 08:00:00+00:00,2019-08-30 20:00:00+00:00,0.55,-0.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-30 12:00:00+00:00,2019-08-31 00:00:00+00:00,0.55,3.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-30 20:00:00+00:00,2019-09-04 12:00:00+00:00,0.55,-0.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2019-09-02 16:00:00+00:00,2019-09-03 16:00:00+00:00,0.2,-0.0,0.2,UNCHANGED,0.2,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2019-09-25 08:00:00+00:00,2019-09-25 20:00:00+00:00,0.55,2.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-09-27 00:00:00+00:00,2019-09-27 20:00:00+00:00,0.55,-0.9999999999999688,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2019-09-30 04:00:00+00:00,2019-10-01 12:00:00+00:00,0.025,2.0,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
