symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2020-11-06 12:00:00+00:00,2020-11-12 16:00:00+00:00,0.15,0.2099261045060529,0.15,UNCHANGED,0.15,UNCHANGED
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2020-11-06 16:00:00+00:00,2020-11-09 20:00:00+00:00,0.55,-0.9999999999999878,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2020-11-06 16:00:00+00:00,2020-11-09 12:00:00+00:00,0.15,-1.0,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2020-11-10 04:00:00+00:00,2020-11-12 12:00:00+00:00,0.15,0.0,0.15,UNCHANGED,0.15,UNCHANGED
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2020-11-12 00:00:00+00:00,2020-11-12 16:00:00+00:00,0.15,-0.9999999999999867,0.15,UNCHANGED,0.15,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-12 04:00:00+00:00,2020-11-12 20:00:00+00:00,0.025,-0.9999999999999953,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-16 04:00:00+00:00,2020-11-17 20:00:00+00:00,0.025,0.0,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-18 08:00:00+00:00,2020-11-19 04:00:00+00:00,0.55,0.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2020-11-18 12:00:00+00:00,2020-11-19 16:00:00+00:00,0.05,-0.9999999999999839,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-20 08:00:00+00:00,2020-11-23 20:00:00+00:00,0.55,0.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
