symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,reason
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-12 12:00:00+00:00,2013-11-13 16:00:00+00:00,0.15,-0.9999999999999928,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-14 12:00:00+00:00,2013-11-19 04:00:00+00:00,0.15,-1.0000000000000004,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-15 04:00:00+00:00,2013-11-18 12:00:00+00:00,0.15,-1.0000000000000049,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-15 12:00:00+00:00,2013-11-18 12:00:00+00:00,0.15,-1.0000000000000067,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-11-15 16:00:00+00:00,2013-11-19 16:00:00+00:00,0.4,-1.0000000000000184,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-11-15 16:00:00+00:00,2013-11-25 20:00:00+00:00,0.5,0.3337935670685138,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 12:00:00+00:00,2013-11-26 20:00:00+00:00,0.15,0.7939930600379237,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 16:00:00+00:00,2013-11-26 20:00:00+00:00,0.15,0.7690526996074102,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-22 00:00:00+00:00,2013-11-26 20:00:00+00:00,0.15,0.19578632198728882,max_positions
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-22 04:00:00+00:00,2013-11-26 20:00:00+00:00,0.15,0.1109766345553077,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-25 04:00:00+00:00,2013-11-27 00:00:00+00:00,0.15,-0.9999999999999851,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-25 08:00:00+00:00,2013-11-26 00:00:00+00:00,0.15,-0.9999999999999883,symbol_cap
