symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-04-08 04:00:00+00:00,2013-04-12 12:00:00+00:00,0.25,0.5179197903639665
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-04-08 20:00:00+00:00,2013-04-13 00:00:00+00:00,0.25,-0.9999999999999974
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-04-09 00:00:00+00:00,2013-04-13 00:00:00+00:00,0.25,-0.9999999999999941
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-04-10 20:00:00+00:00,2013-04-12 20:00:00+00:00,0.15,-0.9999999999999952
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-04-10 20:00:00+00:00,2013-04-12 12:00:00+00:00,0.25,-0.9999999999999957
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-04-11 00:00:00+00:00,2013-04-12 12:00:00+00:00,0.25,-1.000000000000004
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-04-11 12:00:00+00:00,2013-04-12 12:00:00+00:00,0.15,-1.0000000000000138
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-04-11 20:00:00+00:00,2013-04-12 12:00:00+00:00,0.15,-1.0000000000000024
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-04-24 04:00:00+00:00,2013-04-24 12:00:00+00:00,0.25,-0.9999999999999898
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-06 04:00:00+00:00,2013-05-07 08:00:00+00:00,0.25,2.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-05-09 20:00:00+00:00,2013-05-14 04:00:00+00:00,0.15,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-09 20:00:00+00:00,2013-05-13 04:00:00+00:00,0.25,3.0
