trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
8,V12,GBPUSD_SWING_RETEST,GBPUSD,H4_BREAKOUT_RETEST,SELL,2013-03-08 08:00:00+00:00,2013-03-13 08:00:00+00:00,0.15,7.684702540259062,0.5603992392219155,5123.135026839375,0.0,0.15,0.0,v12_master_admitted,4.3065014572079,5102.661698488369,5106.968199945577,0.31556511411670024
11,V12,GBPUSD_V10_PRECISION,GBPUSD,SECONDARY_12UTC_BREAKOUT,SELL,2013-03-11 12:00:00+00:00,2013-03-13 12:00:00+00:00,0.4,20.46180129719647,-1.0000000000000129,5115.450324299117,0.14999999999998928,0.15,0.0,v12_master_admitted,-20.461801297196732,5106.968199945577,5086.50639864838,0.7149651141167082
13,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,BUY,2013-03-27 08:00:00+00:00,2013-03-27 12:00:00+00:00,0.25,12.716265996620951,-1.0000000000000238,5086.50639864838,0.7149651141167082,0.0,0.0,v12_master_admitted,-12.716265996621253,5086.50639864838,5073.7901326517585,0.9631777013314289
16,V12,EURUSD_SWING_RETEST,EURUSD,H1_BREAKOUT_RETEST,SELL,2013-03-28 01:00:00+00:00,2013-03-28 08:00:00+00:00,0.1,5.073790132651759,-0.999999999999968,5073.7901326517585,0.9631777013314289,0.5,0.0,v12_master_admitted,-5.073790132651596,5073.7901326517585,5068.716342519107,1.062214523630102
15,V12,EURUSD_SWING_CORE,EURUSD,H4_DONCHIAN_BREAKOUT,SELL,2013-03-27 16:00:00+00:00,2013-03-28 16:00:00+00:00,0.25,12.684475331629397,-1.0000000000000024,5073.7901326517585,0.9631777013314289,0.25,0.0,v12_master_admitted,-12.684475331629427,5068.716342519107,5056.0318671874775,1.309806579376767
14,V12,EURUSD_SWING_CORE,EURUSD,H4_DONCHIAN_BREAKOUT,SELL,2013-03-27 12:00:00+00:00,2013-04-01 20:00:00+00:00,0.25,12.684475331629397,-1.0000000000000029,5073.7901326517585,0.9631777013314289,0.0,0.0,v12_master_admitted,-12.684475331629434,5056.0318671874775,5043.347391855848,1.5573986351234324
17,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,BUY,2013-04-02 04:00:00+00:00,2013-04-02 12:00:00+00:00,0.25,12.608368479639621,0.0,5043.347391855848,1.5573986351234324,0.0,0.0,v12_master_admitted,0.0,5043.347391855848,5043.347391855848,1.5573986351234324
18,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,BUY,2013-04-03 08:00:00+00:00,2013-04-04 00:00:00+00:00,0.25,12.608368479639621,0.0,5043.347391855848,1.5573986351234324,0.0,0.0,v12_master_admitted,0.0,5043.347391855848,5043.347391855848,1.5573986351234324
19,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,BUY,2013-04-04 04:00:00+00:00,2013-04-04 08:00:00+00:00,0.25,12.608368479639621,-0.9999999999999948,5043.347391855848,1.5573986351234324,0.0,0.0,v12_master_admitted,-12.608368479639555,5043.347391855848,5030.739023376209,1.8035051385356204
20,V12,GBPUSD_V10_PRECISION,GBPUSD,GBPUSD_SWING_V5_PULLBACK_ADDON,SELL,2013-04-04 12:00:00+00:00,2013-04-04 16:00:00+00:00,0.4,20.122956093504836,-1.000000000000025,5030.739023376209,1.8035051385356204,0.0,0.0,v12_master_admitted,-20.12295609350534,5030.739023376209,5010.616067282704,2.1962911179814872
21,V12,GBPJPY_SWING_CORE,GBPJPY,H4_DONCHIAN_BREAKOUT,BUY,2013-04-05 04:00:00+00:00,2013-04-05 12:00:00+00:00,0.15,7.515924100924056,-1.000000000000009,5010.616067282704,2.1962911179814872,0.0,0.0,v12_master_admitted,-7.515924100924124,5010.616067282704,5003.1001431817795,2.342996681304517
